slug,city,state,postal_code,derived_county,method,confidence,share,reason
"clyde-h-pike-civic-center","Piedmont",AL,36272,"Cherokee",zip_nearest_county_centroid,0.78,0.4224,"ZCTA spans 4 counties; nearest county centroid is 17 km away, next is 26 km (margin 10 km)"
"joe-wheeler-state-park-rogersville","Rogersville",AL,35652,"Limestone",zip_nearest_county_centroid,0.6,0.0239,"ZCTA spans 2 counties; nearest county centroid is 29 km away, next is 34 km (margin 5 km) — OVERRODE the larger-by-land-area candidate"
"rogersville-city-park-rogersville","Rogersville",AL,35652,"Limestone",zip_nearest_county_centroid,0.6,0.0239,"ZCTA spans 2 counties; nearest county centroid is 29 km away, next is 34 km (margin 5 km) — OVERRODE the larger-by-land-area candidate"
"rogersville-park-rogersville","Rogersville",AL,35652,"Limestone",zip_nearest_county_centroid,0.6,0.0239,"ZCTA spans 2 counties; nearest county centroid is 29 km away, next is 34 km (margin 5 km) — OVERRODE the larger-by-land-area candidate"
"ralph-bishop-center-russellville","Russellville",AL,35653,"Franklin",zip_nearest_county_centroid,0.78,0.7801,"ZCTA spans 2 counties; nearest county centroid is 12 km away, next is 23 km (margin 11 km)"
"beth-yates-park-sylacauga","Sylacauga",AL,35150,"Talladega",zip_nearest_county_centroid,0.6,0.9729,"ZCTA spans 3 counties; nearest county centroid is 23 km away, next is 27 km (margin 3 km)"
"courtside-park-sylacauga","Sylacauga",AL,,"",none,0,,"no postal_code"
"madison-crossroads","Toney",AL,35773,"Madison",zip_nearest_county_centroid,0.6,0.7825,"ZCTA spans 2 counties; nearest county centroid is 22 km away, next is 25 km (margin 2 km)"
"trinity-pickleball-courts-trinity","Trinity",AL,35673,"Lawrence",zip_nearest_county_centroid,0.6,0.7204,"ZCTA spans 2 counties; nearest county centroid is 23 km away, next is 28 km (margin 5 km)"
"crosspoint-church-79","Trussville",AL,35173,"St. Clair",zip_nearest_county_centroid,0.78,0.2389,"ZCTA spans 2 counties; nearest county centroid is 20 km away, next is 37 km (margin 17 km) — OVERRODE the larger-by-land-area candidate"
"first-baptist-church-trussville-80","Trussville",AL,35173,"Jefferson",zip_nearest_county_centroid,0.6,0.7611,"ZCTA spans 2 counties; nearest county centroid is 28 km away, next is 30 km (margin 2 km)"
"trussville-civic-center-81","Trussville",AL,35173,"St. Clair",zip_nearest_county_centroid,0.6,0.2389,"ZCTA spans 2 counties; nearest county centroid is 27 km away, next is 30 km (margin 3 km) — OVERRODE the larger-by-land-area candidate"
"trussville-covered-courts","Trussville",AL,35173,"St. Clair",zip_nearest_county_centroid,0.6,0.2389,"ZCTA spans 2 counties; nearest county centroid is 28 km away, next is 29 km (margin 1 km) — OVERRODE the larger-by-land-area candidate"
"trussville-mall-courts-82","Trussville",AL,35173,"Jefferson",zip_nearest_county_centroid,0.6,0.7611,"ZCTA spans 2 counties; nearest county centroid is 28 km away, next is 30 km (margin 2 km)"
"trussville-ymca-83","Trussville",AL,35173,"Jefferson",zip_nearest_county_centroid,0.6,0.7611,"ZCTA spans 2 counties; nearest county centroid is 28 km away, next is 30 km (margin 2 km)"
"bowers-park-pickleball-tuscaloosa-al","Tuscaloosa",AL,,"",none,0,,"no postal_code"
"the-lighthouse-at-vhumc","Vestavia Hills",AL,35216,"Jefferson",zip_nearest_county_centroid,0.78,0.9819,"ZCTA spans 2 counties; nearest county centroid is 15 km away, next is 23 km (margin 8 km)"
"vestavia-hills-civic-center","Vestavia Hills",AL,35216,"Jefferson",zip_nearest_county_centroid,0.78,0.9819,"ZCTA spans 2 counties; nearest county centroid is 15 km away, next is 23 km (margin 8 km)"
"life-time-vestavia-hills","Vestavia",AL,35243,"Shelby",zip_nearest_county_centroid,0.6,0.0203,"ZCTA spans 2 counties; nearest county centroid is 19 km away, next is 20 km (margin 1 km) — OVERRODE the larger-by-land-area candidate"
"walton-family-whole-health-fitness","Bentonville",AR,72716,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"veterans-park-community-center","Cabot",AR,72023,"Lonoke",zip_nearest_county_centroid,0.78,0.6875,"ZCTA spans 3 counties; nearest county centroid is 27 km away, next is 35 km (margin 8 km)"
"dardanelle-community-center","Dardanelle",AR,72834,"Yell",zip_nearest_county_centroid,0.78,0.9723,"ZCTA spans 2 counties; nearest county centroid is 34 km away, next is 51 km (margin 17 km)"
"fairfield-bay-recreation","Fairfield Bay",AR,72088,"Van Buren",zip_nearest_county_centroid,0.6,0.8426,"ZCTA spans 2 counties; nearest county centroid is 23 km away, next is 23 km (margin 1 km)"
"harrison-parks-and-rec-tennis-courts","Harrison",AR,72602,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"balboa-baptist-church","Hot Springs Village",AR,71909,"Garland",zip_nearest_county_centroid,0.78,0.7328,"ZCTA spans 2 counties; nearest county centroid is 16 km away, next is 30 km (margin 14 km)"
"diamante-country-club","Hot Springs Village",AR,71909,"Garland",zip_nearest_county_centroid,0.78,0.7328,"ZCTA spans 2 counties; nearest county centroid is 16 km away, next is 30 km (margin 14 km)"
"hot-springs-village-95","Hot Springs Village",AR,71909,"Garland",zip_nearest_county_centroid,0.78,0.7328,"ZCTA spans 2 counties; nearest county centroid is 16 km away, next is 30 km (margin 14 km)"
"hot-springs-village-church-of-christ","Hot Springs Village",AR,71909,"Garland",zip_nearest_county_centroid,0.78,0.7328,"ZCTA spans 2 counties; nearest county centroid is 16 km away, next is 30 km (margin 14 km)"
"hot-springs-health-and-fitness","Hot Springs",AR,71913,"Garland",zip_nearest_county_centroid,0.78,0.7615,"ZCTA spans 2 counties; nearest county centroid is 12 km away, next is 23 km (margin 11 km)"
"hot-springs-ymca-94","Hot Springs",AR,71901,"Garland",zip_nearest_county_centroid,0.78,0.9949,"ZCTA spans 2 counties; nearest county centroid is 12 km away, next is 23 km (margin 11 km)"
"vulcan-pickleball-park","Hot Springs",AR,71913,"Garland",zip_nearest_county_centroid,0.78,0.7615,"ZCTA spans 2 counties; nearest county centroid is 12 km away, next is 23 km (margin 11 km)"
"jacksonville-high-school","Jacksonville",AR,72076,"Pulaski",zip_nearest_county_centroid,0.6,0.8472,"ZCTA spans 3 counties; nearest county centroid is 21 km away, next is 23 km (margin 2 km)"
