city_key,wanted_slug,slug,name,street_address,total_courts,latitude,longitude,km_apart
MN/st-cloud/whitney-recreation-center,whitney-recreation-center,whitney-recreation-center,Whitney Recreation Center,1529 Northway Drive,6,45.5814548,-94.1775815,0.776
MN/st-cloud/whitney-recreation-center,whitney-recreation-center,whitney-recreation-center-2584,Whitney Recreation Center,1527 Northway Dr,6,45.575495,-94.1827771,0.776
MN/woodbury/all-world-pickleball,all-world-pickleball,all-world-pickleball,All World Pickleball,"11650 Hudson Road, Suite #200",15,45.0021685,-92.8801862,0.000
MN/woodbury/all-world-pickleball,all-world-pickleball,all-world-pickleball,All World Pickleball,"11650 Hudson Road, Suite #200",15,45.0021685,-92.8801862,0.000
MO/camdenton/community-christian-church,community-christian-church,community-christian-church,Community Christian Church,1064 N. Business Route 5,3,38.0187723,-92.7590343,0.540
MO/camdenton/community-christian-church,community-christian-church,community-christian-church-2608,Community Christian Church,1164 North Business Route 5,3,38.0214786,-92.7641524,0.540
MO/crestwood/spellman-park,spellman-park,spellman-park,Spellman Park,1050 Pellman Ave,1,38.5587773,-90.3835408,1.113
MO/crestwood/spellman-park,spellman-park,spellman-park-6451,Spellman Park,1050 Spellman Ave.,1,38.5619159,-90.3956947,1.113
MO/festus/jokerst-memorial-park,jokerst-memorial-park,jokerst-memorial-park,Jokerst Memorial Park,525 Mill Street,6,38.215661,-90.393849,0.591
MO/festus/jokerst-memorial-park,jokerst-memorial-park,jokerst-memorial-park-5589,Jokerst Memorial Park,South Mill St. at Highway A (Veteran's Blvd.),8,38.2207112,-90.3959504,0.591
MO/jefferson-city/lincoln-university-tennis-courts,lincoln-university-tennis-courts,lincoln-university-tennis-courts,Lincoln University Tennis Courts,East Dunklin Street,4,38.5640353,-92.1647575,1.625
MO/jefferson-city/lincoln-university-tennis-courts,lincoln-university-tennis-courts,lincoln-university-tennis-courts-9063,Lincoln University Tennis Courts,Lafayette & Dunklin,4,38.577359,-92.1724265,1.625
MO/marionville/the-pickleball-warehouse,the-pickleball-warehouse,the-pickleball-warehouse,The Pickleball Warehouse,515 W. Jonathan Dr,7,36.9888025,-93.6419021,1.850
MO/marionville/the-pickleball-warehouse,the-pickleball-warehouse,the-pickleball-warehouse-13743,The Pickleball Warehouse,516 W Jonathan Dr,7,37.0048876,-93.6365634,1.850
MO/o-fallon/westhoff-park,westhoff-park,westhoff-park,Westhoff Park,810 Sheppard Drive,4,38.811428,-90.6898516,0.000
MO/o-fallon/westhoff-park,westhoff-park,westhoff-park,Westhoff Park,810 Sheppard Drive,4,38.811428,-90.6898516,0.000
NC/greensboro/greensboro-sportsplex,greensboro-sportsplex,greensboro-sportsplex,Greensboro Sportsplex,2400 Sixteenth St.,4,36.0726355,-79.7919754,5.808
NC/greensboro/greensboro-sportsplex,greensboro-sportsplex,greensboro-sportsplex-2819,Greensboro Sportsplex,2400 16th St.,8,36.1111733,-79.74834,5.808
NC/reidsville/freedom-academy,freedom-academy,freedom-academy,Freedom Academy,7921 US-158,1,36.3308548,-79.6422473,3.330
NC/reidsville/freedom-academy,freedom-academy,freedom-academy-13976,Freedom Academy,7921Us-158,1,36.3548586,-79.6644748,3.330
NC/winston-salem/william-g-white-ymca,william-g-white-ymca,william-g-white-ymca,William G. White YMCA,"775 west end blvd, Winston Salem Nc 27101",6,36.0984008,-80.2624367,0.467
NC/winston-salem/william-g-white-ymca,william-g-white-ymca,william-g-white-ymca-11885,William G White YMCA,775 West End Blvd,3,36.0942062,-80.262323,0.467
NE/north-platte/north-platte-rec-center,north-platte-rec-center,north-platte-rec-center,North Platte Rec Center,"1300 McDonald Rd, North Platte Ne 69101",4,41.122422,-100.782152,2.371
NE/north-platte/north-platte-rec-center,north-platte-rec-center,north-platte-rec-center-10882,North Platte Rec Center,Leota & McDonald,4,41.1368333,-100.7612819,2.371
NE/papillion/halleck-park,halleck-park,halleck-park,Halleck Park,"600 E Halleck Street, Papillion Ne 68046",2,41.150809,-96.036346,0.161
NE/papillion/halleck-park,halleck-park,halleck-park-2969,Halleck Park,816 E Halleck St,2,41.1508103,-96.0344175,0.161
NY/plattsburgh/south-acres-park,south-acres-park,south-acres-park,South Acres Park,"23 Flynn Avenue, Plattsburgh Ny 12901",5,44.6801651,-73.4573194,1.786
